,totgen,coal,oil,biomass,IPP,alphacoal,alphaoil,alphabiomass,alphaIPP,,,,,,,,,,
108,1540.746619,472.2043164,219.3618657,-0.789028782,423.4466909,0.306477594,0.142373745,-0.000512108,0.27483214,,,,,,,,,,
109,1531.32068,486.2693773,219.0192285,-1.147474782,405.2281224,0.317549017,0.143026364,-0.000749337,0.264626559,,,,,,,,,,
110,1542.042956,495.0052251,212.1948697,-1.766184782,407.6792618,0.321006119,0.137606329,-0.001145354,0.264376073,,,,,,,,,,
111,1543.025477,499.0266138,212.8648712,-1.470667782,406.5514532,0.32340789,0.137952921,-0.000953107,0.263476825,,,,,,,,,,
112,1534.199245,502.9590453,209.1430856,-1.538396782,406.4051247,0.327831634,0.136320681,-0.001002736,0.264897226,,,,,,,,,,
113,1559.994558,507.9498104,212.4757793,-1.103521782,406.0779859,0.325609989,0.136202898,-0.000707388,0.260307309,,,,,,,,,,
114,1608.82738,517.5554474,212.6385233,-0.606168782,406.9985017,0.321697314,0.132169881,-0.000376777,0.252978353,,,,,,,,,,
115,1678.019085,525.9129404,212.4110206,-0.448659782,454.4559497,0.313412967,0.126584389,-0.000267375,0.270828832,,,,,,,,,,
116,1754.508713,528.3462148,235.654895,-0.370355782,508.4197587,0.301136273,0.134313893,-0.000211088,0.289778988,,,,,,,,,,
117,1829.052034,531.5463434,273.5050276,-0.094639782,532.1953382,0.290613024,0.14953376,-5.17425E-05,0.29096785,,,,,,,,,,
118,1980.29773,536.9397468,288.5399543,-0.357004782,539.634178,0.271140919,0.14570534,-0.000180278,0.272501538,,,,,,,,,,
119,2100.568998,543.6636682,295.1580441,-0.376205782,544.7923029,0.258817334,0.140513377,-0.000179097,0.259354634,,,,,,,,,,
120,2164.886029,540.5429174,311.5771435,-0.402156782,545.8059379,0.249686547,0.143923116,-0.000185763,0.252117631,,,,,,,,,,
121,2173.217916,555.6628074,310.6880445,-0.801329782,546.8612578,0.255686649,0.142962214,-0.00036873,0.251636642,,,,,,,,,,
122,2159.263814,557.7728314,309.9450332,-0.941587782,548.1638398,0.258316204,0.143541994,-0.000436069,0.25386608,,,,,,,,,,
123,2086.7304,561.5480715,310.9659093,-1.222478782,547.9865998,0.269104275,0.149020645,-0.000585835,0.262605366,,,,,,,,,,
124,1991.355752,564.955458,310.812465,-1.115297782,551.5593978,0.283703933,0.156080833,-0.00056007,0.276976827,,,,,,,,,,
125,1885.26363,567.0791846,285.4843423,-1.182426782,555.9273578,0.300795695,0.151429401,-0.000627194,0.294880434,,,,,,,,,,
126,1855.134706,571.5660887,287.0365548,-1.562547782,560.3641278,0.308099507,0.154725451,-0.000842283,0.302061153,,,,,,,,,,
127,1850.659286,575.8987561,287.5071839,-1.297857782,564.2368478,0.311185727,0.155353925,-0.000701295,0.304884239,,,,,,,,,,
128,1873.333635,581.2127102,285.9463962,-1.242354782,567.1983578,0.310255845,0.1526404,-0.000663179,0.302774875,,,,,,,,,,
129,1892.754536,588.6975397,286.2499005,-1.541471782,567.0954678,0.311026881,0.151234561,-0.000814407,0.299613847,,,,,,,,,,
130,1958.027037,601.2390051,299.4954699,-1.666353782,565.7689378,0.307063689,0.152957781,-0.000851037,0.288948481,,,,,,,,,,
131,2030.147347,613.9992528,308.8715779,-1.592774782,589.1179778,0.302440734,0.152142443,-0.000784561,0.290184837,,,,,,,,,,
132,2080.945062,616.1346064,306.489671,-1.775859782,586.1518078,0.296084033,0.147283884,-0.000853391,0.281675772,,,,,,,,,,
133,2137.219446,657.2851878,332.4146734,-1.863989782,589.2851478,0.307542208,0.155536051,-0.000872156,0.275725148,,,,,,,,,,
134,2172.317937,675.2058581,340.2034369,-1.169975782,588.4624878,0.310822761,0.156608492,-0.000538584,0.270891511,,,,,,,,,,
135,2165.830954,673.4880272,338.3275901,-1.641527782,586.7760378,0.31096057,0.156211448,-0.000757921,0.270924209,,,,,,,,,,
136,2182.011618,658.984171,338.4405704,-1.959020782,586.4062778,0.302007636,0.155104843,-0.000897805,0.268745717,,,,,,,,,,
137,2184.909831,645.1057562,335.8669819,-2.904148782,586.5114078,0.295255093,0.15372121,-0.001329185,0.268437351,,,,,,,,,,
138,2194.066628,632.4031613,334.708781,-3.273169782,588.7291578,0.288233344,0.152551785,-0.001491828,0.268327839,,,,,,,,,,
139,2217.4324,596.1669347,333.9311588,-3.050894782,582.7717278,0.268854615,0.150593614,-0.001375868,0.262813752,,,,,,,,,,
140,2228.722242,566.597561,334.2121593,-2.529502782,580.8502278,0.254225291,0.149956847,-0.001134956,0.260620286,,,,,,,,,,
141,2272.894017,537.6414794,333.6312597,-1.206727782,582.7198678,0.236544896,0.146786985,-0.000530921,0.256377932,,,,,,,,,,
142,2279.831185,522.0165877,335.864639,-0.081588782,583.4997478,0.228971597,0.14731996,-3.57872E-05,0.255939892,,,,,,,,,,
143,2291.473469,519.1946796,343.1354842,-0.277349782,588.4933178,0.22657678,0.149744472,-0.000121036,0.256818735,,,,,,,,,,
144,2299.194831,517.5394081,342.6658363,-0.630169782,586.9230478,0.225095934,0.14903732,-0.000274083,0.255273298,,,,,,,,,,
145,2304.564484,519.2038636,344.0305824,-1.557372782,588.2625678,0.225293702,0.149282255,-0.000675777,0.255259756,,,,,,,,,,
